Flokkun,N,skipting,ath
Amphipoda,1,¼,
Amphitrite cirrata,1,1,stór
Aricidea suecica,3,¼,
Arctica islandica,1,¼,Smá <10 mm
Abra nitida,1,¼,Smá <3 mm
Bivalvia,,,
Capitellidae,,,
Crassicorophium bonellii,3,¼,
Chaetozone setosa,1,1,
Cumacea,,,
Etone longa,,,
Eteone longa,1,1,
Foraminifera,,,
Harpacticoida sp,13,¼,
Heteromastus filiformis,,,
Heteromastus filiformis,3,¼,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcarea,8,¼,
Macoma calcarea,,,2 tómar önnur 19 mm
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Microphthalmus aberrans,,,
Mya arenaria,,,
Nematoda,,,
Nematoda,11,¼,
Nemertea sp,,,
Nemertea sp,3,¼,
Oligochaeta sp,6,¼,
Oligochaeta sp,,,
Ophelina acuminata,12,¼,
Ophelina acuminata,1,1,
Ostracoda,,,
Ostracoda,,,
Pectinariidae sp,,,
Pholoe sp,,,
Phyllodoce maculata,2,¼,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,1,1,
Polydora,10,¼,
Praxillella praetermissa,4,4,2 afturendar
Praxillella praetermissa,,,
Priapulidae sp,,,
Scalibregma inflatum,,,
Scalibregma inflatum,,,
Scoloplos armiger,7,¼,
Scoloplos armiger,1,1,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
spio,2,1,
Spionidae sp,20,¼,
Spionidae sp,,,
Terebellidae,1,¼,
Cirratulidae,1,1,Slitinn og illa fixeraður
Nematoda,4,1,
Ostracoda,3,1,
Foraminifera,3,1,
Syllidae,1,¼,
Polynoidae,2,¼,
