flokkur (class),ætt (family),Flokkun,B8A,B8B*1/8,B0A*1/8,B0A,A7B*1/8,A7B,C4C*1/8,C4C,E4A*1/8,E4A,B5C*1/8,B5C,U1C*1/4,U1C*1/8,U1C,U2C*1/8,U2C,U2B*1/8,U2B,U1A*1/8,U1A,E4C*1/8,E4C,B8C*1/8,B8C,B0C*1/8,B0C,E3B*1/2,C4B*1/8,C4B,E3B,B5B*1/8,B5B,E4B*1/8,E4B,U2A,U2A*1/8,E3D,E3A,E3A*1/8,U1B*1/8,U1B,B8A,B8A*1/4,B0B,B0B*1/8,A7A,A7A*1/8,C4A,C4A*1/8,B5A,B5A*1/4,B5A*1/8,A7C *1/8,A7C*1/2
Polychaeta,Phyllodocidae,Eteone suecica ath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Polynoidae,Eunoe nodosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,,,,10,,,,,,
Polychaeta,Terebellidae,Eupolymnia nesidensis,,,,,,,,,,,,,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Polychaeta,Syllidae,Exogone hebes,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Polychaeta,Syllidae,Exogone verrugera,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,
Polychaeta,,Flabelligera affinis???,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,,,,,
Polychaeta,Oweniidae,Galathowenia oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,Gastropoda ungv,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Polynoidae,Gattyana cirrosa,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Polychaeta,Polynoidae,Harmothoe extenuata,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,2,1,,,,,,,,5,,4,,,,,,,,,,,,,,
Polychaeta,Polynoidae,Harmothoe imbricata,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,,,1,,,,,,2,,,,,6,3,,,1,,,,,,,,,,
Polychaeta,Polynoidae,Harmothoe sp,,,7,5,,,1,6,,,,,15,,8,5,3,1,2,,,,,,,,1,5,1,,9,,,,,,,,,,,,,,,,,,,,,,,,
Asteroidea,Echinasteridae,Henricia sanguinolenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Polychaeta,Capitellidae,Heteromastus filiformis,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hiatella arctica,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacostraca,Majidae,Hyas araneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Polychaeta,Terebellidae,Lanassa venusta,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Gastropoda,Lepetidae,Lepeta caeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Polychaeta,Polynoidae,Lepidonotus squamatus,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Polychaeta,Paraonidae,Levinsenia gracilis,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Bivalvia,Tellinidae,Macoma calcaria,,,,,,,,,,,,,,1,,,18,,7,,,,,,,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldanidae sp,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Capitellidae,Mediomastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Polychaeta,Capitellidae,Mediomastus fragilis,,,,,,,1,,,,,,,,,,2,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,
Polychaeta,Hesionidae,Microphthalmus aberrans,,,,,,,4,1,,,,,,,,,1,1,,,1,,,1,,,,7,2,,,,,,,2,,,1,1,,,,,,,,,,2,3,,,,
Gastropoda,Colloniidae,Moelleria costulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Bivalvia,Mytilidae,Musculus,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Oweniidae,Myriochele oculata,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nematoda sp,,,,,,,,,,,,,,,,,,,3,,,,,,,1,13,25,3,4,,8,1,4,,16,98,12,8,33,120,,,,11,23,,,,11,4,7,21,3,
,,Nemertea?,,,,,,,,,,,,,5,1,,,,,,,12,,,,,7,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Nephtyidae,Nephtiydae sp,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Polychaeta,Hesionidae,Nereimyra punctata,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
