"pair","dissimilarity"
"E3-E4",0.251977978814273
"A7-B8",0.283145077305135
"B5-C4",0.351801418099363
"E4-B8",0.603721993225319
"E3-B8",0.653739865061121
"E3-A7",0.672409648208991
