"year","e3e4_dist","other_mean_dist"
1999,0.768824660000487,0.780430517788788
2013,0.118250799556847,0.686272402327457
2014,0.537231804795961,0.687019034388798
2015,0.446404895461499,0.485957099613894
2016,0.290266259275426,0.532686572578664
2017,0.727876650537194,0.571968721850633
