Flokkun,N,skipting,ath
Amphipoda,11,4,
Harpacticoida,13,4,
Hiatella arctica,1,4,
Macoma calcarea,11,4,
Nemertea,24,4,
Oligochaeta,5,4,
Ophelina acuminata,11,4,
Polydora,14,4,
Scalibregma inflatum,1,4,
Spionidae sp,30,4,
Amphipoda,1,1,Mjšg sm‡ 
Balanus balanus,1,1,Kraminn
Bivalvia,1,1,Kannski Enucula sp.
Campanulariidae,1,4,
Capitellidae,1,1,ßurfti aÝ pilla sl’ÝriÝ af 
Cirratulus cirratus,2,1,
Eteone longa,2,1,
Eunoe nodosa,2,4,Áður Harmothoe nodosa. Í greiningarlykli frá GVH stendur Harmothoe sp. Líklega óskýr greining
Harmothoe imbricata,1,4,
Harmothoe imbricata,1,1,
Harpacticoida,1,1,
Nematoda,11,1,
Nemertea,2,1,
Oligochaeta,4,1,
Ophelina acuminata,11,1,
Paraonidae,1,1,
Polydora,9,1,
Scoloplos armiger,2,1,
Sphaerosyllis,1,1,
Tubificoides kozloffi,1,1,
Abra nitida,,,
Amphitrite cirrata,,,
Arctica islandica,2,4,
Aricidea suecica,,,
Capitella capitata,,,
Chaetozone setosa,3,4,
Cirratulidae,,,
Corophium bonnellii,,,
Cossura longocirrata,,,
Cossuridae,,,
Cumacea,1,4,
Eteone longa,7,4,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,,,
Heteromastus filiformis,,,
Heteromastus filiformis,1,4,Ekki viss
Leda minuta,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcarea,,,
Maldanidae,,,
Maldanidae,1,4,Illa farinn
Maldanidae með augu,,,
Mediomastus fragilis,2,4,
Microphthalmus aberrans,,,
Mya arenaria,,,
Nematoda,10,4,
Nuculana minuta,,,
Orbiniidae,,,
Ostracoda,,,
Ostracoda,,,
Pectinaria granulata,,,
Pectinaria hyperborea,,,
Pectinariidae sp,,,
Polynoidae,2,4,"Slitnir, afturhluti horfinn. "
Phyllodoce maculata,,,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Protomedeia fasciata,,,
Pygospio elegans,,,
Scalibregma inflatum,,,
Scoloplos armiger,7,4,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
spio,,,
Spionidae sp,,,
Syllidae,,,
Terebellinae,,,
