"species"
"Alia aurantiaca"
"Alia carinata"
"Alia gausapata"
"Alia tuberosa"
"Alia unifasciata"
"Aliculastrum cylindricum"
"Alienacanthomysis macropsis"
"Aligena elevata"
"Aligena peruviana"
"Alitta brandti"
"Alitta succinea"
"Alitta virens"
"Alkmaria romijni"
"Allia antennata"
"Allia ramosa"
"Alloleptochelia longimana"
"Allomelita pellucida"
"Allorchestes angusta"
"Allorchestes sp."
"Almyracuma proximoculi"
"Almyracuma sp."
"Alokalliapseudes macsweenyi"
"Alpheopsis equidactylus"
"Alpheus bellimanus"
"Alpheus bellulus"
"Alpheus brevicristatus"
"Alpheus californiensis"
"Alpheus clamator"
"Alpheus dentipes"
"Alpheus digitalis"
"Alpheus distinguendus"
"Alpheus floridanus"
"Alpheus formosus"
"Alpheus glaber"
"Alpheus heterocarpus"
"Alpheus heterochaelis"
"Alpheus hoplocheles"
"Alpheus japonicus"
"Alpheus lobidens"
"Alpheus macrocheles"
"Alpheus malabaricus"
"Alpheus rapax"
"Alpheus sivado"
"Alpheus sp."
"Alteutha sp."
"Alvania abyssicola"
"Alvania beanii"
"Alvania cancellata"
"Alvania carpenteri"
"Alvania cimex"
"Alvania cimicoides"
"Alvania colossophilus"
"Alvania compacta"
"Alvania crassa"
"Alvania discors"
"Alvania geryonia"
"Alvania lactea"
"Alvania montagui"
"Alvania punctura"
"Alvania reticulata"
"Alvania semistriata"
"Alvania sp."
"Alvania testae"
"Alveinus ojianus"
"Amaea trilobata"
"Amaeana occidentalis"
"Amaeana sp."
"Amaeana trilobata"
"Amaena sp."
"Amage adspersa"
"Amage anops"
"Amage aurica"
"Amage auricula"
"Amage scutata"
"Amakusanthura iberica"
"Amakusanthura magnifica"
"Amakusanthura signata"
"Amakusanthura sp."
"Amalda australis"
"Amalda novaezelandiae"
"Amastigos caperatus"
"Amathia gracilis"
"Amathia imbricata"
"Amathia lendigera"
"Amathia pruvoti"
"Amathia verticillata"
"Amathimysis sp."
"Amathimysis trigibba"
"Ambidexter panamensis"
"Ambidexter symmetricus"
"Amblyosyllis formosa"
"Amblyosyllis sp."
"Amblyosyllis spectabilis"
"Ameghinomya antiqua"
"Americamysis almyra"
"Americamysis bahia"
"Americamysis bigelowi"
"Americamysis sp."
"Americhelidium americanum"
"Americhelidium gurjanovae"
"Americhelidium rectipalmum"
"Americhelidium shoemakeri"
"Americhelidium sp."
"Americoliva sayana"
"Americonuphis magna"
"Americorophium brevis"
"Americorophium salmonis"
"Americorophium sp."
"Americorophium spinicorne"
"Americorophium stimpsoni"
"Americorophium triaeonyx"
"Ameritella agilis"
"Ameritella cadieni"
"Ameritella carpenteri"
"Ameritella mitchelli"
"Ameritella modesta"
"Ameritella tenella"
"Ameritella texana"
"Ameroculodes edwardsi"
"Ameroculodes sp."
"Ammodytes personatus"
"Ammodytes tobianus"
"Ammonia beccarii"
"Ammonicera rota"
"Ammothea hilgendorfi"
"Ammothella longipes"
"Ammotrypane aulogaster"
"Ammotrypane cylindricaudatus"
"Ammotrypane gymnopyge"
"Ammotrypane lanceolata"
"Ampelisca abdita"
"Ampelisca aequicornis"
"Ampelisca agassizi"
"Ampelisca amblyops"
"Ampelisca anomala"
"Ampelisca anversensis"
"Ampelisca araucana"
"Ampelisca armoricana"
"Ampelisca bocki"
"Ampelisca brachycladus"
"Ampelisca brevicornis"
"Ampelisca brevisimulata"
"Ampelisca careyi"
"Ampelisca cavicoxa"
"Ampelisca cristata"
"Ampelisca cyclops"
"Ampelisca cyclops iyoensis"
"Ampelisca dalmatina"
"Ampelisca declivitatis"
"Ampelisca diadema"
"Ampelisca eoa"
"Ampelisca eschrichtii"
"Ampelisca gibba"
"Ampelisca hancocki"
"Ampelisca heterodactyla"
"Ampelisca holmesi"
"Ampelisca iyoensis"
"Ampelisca jaffaensis"
"Ampelisca ledoyeri"
"Ampelisca lobata"
"Ampelisca longisetosa"
"Ampelisca lusitanica"
"Ampelisca macrocephala"
"Ampelisca miharaensis"
"Ampelisca milleri"
"Ampelisca misakiensis"
"Ampelisca multispinosa"
"Ampelisca naikaiensis"
"Ampelisca odontoplax"
"Ampelisca parapanamensis"
"Ampelisca pectenata"
"Ampelisca planierensis"
"Ampelisca provincialis"
